indicator,type,sources,source_count,risk_score,risk_level,category,malware
162.243.103.246,IP,Feodo Tracker,1,40,MEDIUM,botnet,Emotet
50.16.16.211,IP,Feodo Tracker,1,40,MEDIUM,botnet,QakBot
34.204.119.63,IP,Feodo Tracker,1,40,MEDIUM,botnet,QakBot
178.62.3.223,IP,Feodo Tracker,1,40,MEDIUM,botnet,QakBot
27.133.154.218,IP,Feodo Tracker,1,40,MEDIUM,botnet,QakBot
https://ggzh-google.com.cn,URL,Phishunt,1,65,HIGH,phishing,
ggzh-google.com.cn,DOMAIN,Phishunt,1,60,HIGH,phishing,
188.114.97.3,IP,Phishunt,1,30,MEDIUM,phishing-host,
https://santandercarpetcleaners.com,URL,Phishunt,1,65,HIGH,phishing,
santandercarpetcleaners.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
216.198.79.1,IP,Phishunt,1,30,MEDIUM,phishing-host,
https://binance-cekilisleri.com,URL,Phishunt,1,65,HIGH,phishing,
binance-cekilisleri.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
64.89.160.46,IP,Phishunt,1,30,MEDIUM,phishing-host,
https://binancecekilisi.com,URL,Phishunt,1,65,HIGH,phishing,
binancecekilisi.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://binance-cekilisi.com,URL,Phishunt,1,65,HIGH,phishing,
binance-cekilisi.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://binance--cekilisi.com,URL,Phishunt,1,65,HIGH,phishing,
binance--cekilisi.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://binance--cekilisleri.com,URL,Phishunt,1,65,HIGH,phishing,
binance--cekilisleri.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://cekilis--binance.com,URL,Phishunt,1,65,HIGH,phishing,
cekilis--binance.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://binancetrcekilis.com,URL,Phishunt,1,65,HIGH,phishing,
binancetrcekilis.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://bankofamerica-tax.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamerica-tax.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
45.79.222.138,IP,Phishunt,1,30,MEDIUM,phishing-host,
https://bankofamericarealtor.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamericarealtor.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://play-google-dl.com,URL,Phishunt,1,65,HIGH,phishing,
play-google-dl.com,DOMAIN,Phishunt,1,60,HIGH,phishing,
85.137.240.167,IP,Phishunt,1,30,MEDIUM,phishing-host,
https://bankofamericafamilyoffice.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamericafamilyoffice.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://bankofamericabank.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamericabank.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://bankofamericasonlinebanking.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamericasonlinebanking.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://bankofamericaxrp.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamericaxrp.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
https://bankofamericain.ph,URL,Phishunt,1,65,HIGH,phishing,
bankofamericain.ph,DOMAIN,Phishunt,1,60,HIGH,phishing,
